id,name,normalized_name,gender
642,One-eyed Bartender,one-eyed bartender,
643,Flowers,flowers,
644,Tom Hamilton,tom hamilton,
645,Joey Kramer,joey kramer,
646,Snappy,snappy,
647,Broker,broker,
648,Hans,hans,
649,Fritz,fritz,
650,German Teacher,german teacher,
651,Boxer,boxer,
652,Mr. Thorson,mr thorson,
653,Angel,angel,
654,Patient,patient,
655,Justice Of The Peace,justice of the peace,
656,Groom,groom,
657,Applicant #1,applicant 1,
658,Applicant #2,applicant 2,
659,Applicants,applicants,
660,Tourist Kid,tourist kid,
661,Tourist Dad,tourist dad,
662,Boss,boss,
663,Elderly Lady,elderly lady,
664,Repo Man,repo man,
665,Driver,driver,
666,M.C.,mc,
667,Boy,boy,
668,Operator,operator,
669,Barber,barber,
670,Rosarita,rosarita,
671,Weasel,weasel,
672,Robot Weasel,robot weasel,
673,Señor Beaver-otti,señor beaver-otti,
674,Robot Animals,robot animals,
675,Fat Cop,fat cop,
676,Falcon Man,falcon man,
677,Sailor,sailor,
678,Sting,sting,
679,Choir,choir,
680,Souvenir Hawker,souvenir hawker,
681,Station Announcer,station announcer,
682,Old Lady #1,old lady 1,
683,Bret,bret,
684,JIMMY,jimmy,
685,Sportscaster,sportscaster,
686,Coach,coach,
687,Football Announcer #2,football announcer 2,
688,Player,player,
689,Marco,marco,
690,Box,box,
691,Nutty Comedian,nutty comedian,
692,Alien,alien,
693,Duff Announcer,duff announcer,
694,Nick #2,nick 2,
695,Commercial Guy,commercial guy,
696,Man On Phone,man on phone,
697,Bus Driver,bus driver,
698,Policewoman,policewoman,
699,Different Announcer,different announcer,
700,Chef Rodrigo,chef rodrigo,
701,Gregory,gregory,
702,FABRIZIO,fabrizio,
703,Woman On Tv #1,woman on tv 1,
704,Woman On Tv #2,woman on tv 2,
705,Teenage Boy,teenage boy,
706,CHIF WIGGUM,chif wiggum,
707,Service Manager,service manager,
708,Ted,ted,
709,Sound-alikes,sound-alikes,
710,Mister Amazing,mister amazing,
711,Sparkle,sparkle,
712,Romantic Lover Voice,romantic lover voice,
713,Southern Private,southern private,
714,'Charles Boyer',charles boyer,
715,Umpire,umpire,
716,Dispatcher,dispatcher,
717,ARI,ari,
718,Jose Canseco,jose canseco,
719,Ozzie Smith,ozzie smith,
720,Don Mattingly,don mattingly,
721,Steve Sax,steve sax,
722,Roger Clemens,roger clemens,
723,Wade Boggs,wade boggs,
724,KEN GRIFFEY JR.,ken griffey jr,
725,Darryl Strawberry,darryl strawberry,
726,Hypnotist,hypnotist,
727,ALL THE PLAYERS,all the players,
728,JOSE CONSECO,jose conseco,
729,Ticket Taker,ticket taker,
730,Courier,courier,
731,FORTE,forte,
732,Donna,donna,
733,PRINCIPAL WILLIE,principal willie,
734,Prosecutor,prosecutor,
735,Steve Allen,steve allen,
736,Mr. Montone,mr montone,
737,Former Teacher,former teacher,
738,Teacher #1,teacher 1,
739,Teacher #2,teacher 2,
740,Hippie Teacher,hippie teacher,
741,Employer,employer,
742,Sideshow Mel,sideshow mel,male
743,Tour Guide,tour guide,male
744,HUGH,hugh,male
745,Tammy,tammy,female
746,Employee,employee,male
747,Mike Scioscia,mike scioscia,male
748,Charlie,charlie,male
749,Nick,nick,male
750,Window Washers,window washers,
751,Sanjay Nahasapeemapetilon,sanjay nahasapeemapetilon,
752,Lottery Announcer,lottery announcer,
753,Vet,vet,
754,Mr. Danielson,mr danielson,
755,Sadistic Barfly,sadistic barfly,
756,Young Barfly,young barfly,
757,Trainee,trainee,
758,Butler,butler,
759,Ticket Man,ticket man,
760,General,general,
761,Cowboy #1,cowboy 1,
762,Cowboy #2,cowboy 2,
763,Bar Owner,bar owner,
764,Yodelin' Zeke,yodelin zeke,
765,Male Nurse,male nurse,
766,Music Store Owner,music store owner,
767,Mr. Boylan,mr boylan,
768,Mule,mule,
769,Young Girl,young girl,
770,Pretty Girl,pretty girl,
771,Orville,orville,
772,Hurley,hurley,
773,Dinosaur Dad,dinosaur dad,
774,Dinosaur Son,dinosaur son,
775,Cellmate #1,cellmate 1,
776,FAMILY/EVERYONE,familyeveryone,
777,Crooner,crooner,
778,MacGyver,macgyver,
779,T-shirt Guy,t-shirt guy,
780,David,david,
781,DEREK,derek,
782,Roadie,roadie,
783,Stoned Guy,stoned guy,
784,Promoter,promoter,
785,DAVID/NIGEL,davidnigel,
786,DAVID/NIGEL/DEREK,davidnigelderek,
787,Landlord,landlord,
788,Samantha Stanky,samantha stanky,
789,Grave Digger,grave digger,
790,Crane Operator,crane operator,
791,Worker #1,worker 1,
792,Worker #2,worker 2,
793,Mr. Stanky,mr stanky,
794,Nun,nun,
795,NUN #2,nun 2,
796,Bum,bum,
797,WILLIAM POWEL LOOKALIKE,william powel lookalike,
798,Bum #2,bum 2,
799,Nbc Anchorman,nbc anchorman,
800,Jittery Private,jittery private,
801,Angry Sergeant,angry sergeant,
802,Men Singers,men singers,
803,Female Singers,female singers,
804,Smokin' Joe Frazier,smokin joe frazier,
805,Herb Powell,herb powell,
806,Mom,mom,
807,Teachers,teachers,
808,Mr. Black,mr black,
809,Sergeant,sergeant,
810,Campers,campers,
811,Line Judge,line judge,
812,Stablehand,stablehand,
813,Little Boy #1,little boy 1,
814,Queen Elizabeth II,queen elizabeth ii,
815,Yoga Instructor,yoga instructor,
816,HOMER'S THOUGHT,homers thought,
817,Contestants,contestants,
818,Mr. Bozwell,mr bozwell,
819,DEBORAH JO SMALLWOOD,deborah jo smallwood,
820,Auditioning Woman #1,auditioning woman 1,
821,Auditioning Woman #2,auditioning woman 2,
822,Auditioning Woman #3,auditioning woman 3,
823,Ms. Sinclair,ms sinclair,
824,Video Game Voice,video game voice,
825,Company,company,
826,Actress,actress,
827,Male Parishoner,male parishoner,
828,Stooge #1,stooge 1,
829,Stooge #2,stooge 2,
830,Boring Guy,boring guy,
831,Commentator,commentator,
832,Abraham Lincoln,abraham lincoln,
833,Flanders Family,flanders family,
834,Jamshed,jamshed,
835,Insurance Agent,insurance agent,
836,Barker,barker,
837,Booth Man,booth man,
838,Caricaturist,caricaturist,
839,Small Voice,small voice,
840,Tv Father,tv father,
841,Tv Daughter,tv daughter,
842,Bitsy,bitsy,
843,Ramona,ramona,
844,Owner,owner,
845,Ice Cream Lady,ice cream lady,
846,Amber Dempsey,amber dempsey,
847,Pahasatira,pahasatira,
848,Judges,judges,
849,Museum Worker,museum worker,
850,Show Announcer,show announcer,
851,Bob Hope,bob hope,
852,Kirk Van Houten,kirk van houten,male
853,Lurleen Lumpkin,lurleen lumpkin,female
854,God,god,male
855,Nigel Bakerbutcher,nigel bakerbutcher,male
856,Advance Man,advance man,
857,Soldier #1,soldier 1,
858,Soldier #2,soldier 2,
859,Nerd #1,nerd 1,
860,Nerd #2,nerd 2,
861,Football Player,football player,
862,Shopkeeper,shopkeeper,
863,Gangster,gangster,
864,Repairman,repairman,
865,Sailor #1,sailor 1,
866,Sailor #2,sailor 2,
867,Natives,natives,
868,'30s Reporter,30s reporter,
869,Girl Star,girl star,
870,Co-pilot,co-pilot,
871,Monkey,monkey,
872,Faces,faces,
873,Zombies,zombies,
874,Skinner Zombie,skinner zombie,
875,Zombie Krusty,zombie krusty,
876,Zombie Flanders,zombie flanders,
877,Zombie D.J.'s,zombie djs,
878,Zombie Shakespeare,zombie shakespeare,
879,Lisa Snail,lisa snail,
880,Zombie,zombie,
881,Pilgrim Zombie,pilgrim zombie,
882,Cowboy Zombie,cowboy zombie,
883,Helmsman,helmsman,
884,Chief Engineer,chief engineer,
885,Rowdy Woman,rowdy woman,
886,Astronaut,astronaut,
887,Booth Attendant,booth attendant,
888,MCCLURE,mcclure,
889,Contractor,contractor,
890,Headless Brakeman,headless brakeman,
891,Marley,marley,
892,Donut Man,donut man,
893,Tom Jones,tom jones,
894,Animal Handler,animal handler,
